sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,187,0.91,1.68,0.76,1.83,0,0,0,1,0,0,1.37e-03,1.359
2,376,0.90,1.61,0.72,1.80,0,0,0,1,1,0,6.01e-04,1.070
3,325,0.76,1.51,0.75,1.98,0,0,0,1,1,0,1.88e-03,1.364
4,449,1.00,0.71,-0.30,0.71,0,0,0,1,0,0,3.78e-03,1.618
5,474,0.32,0.24,-0.08,0.76,0,0,0,0,0,0,6.15e-03,1.792
6,24,0.86,2.48,1.62,2.88,0,0,0,1,0,0,5.13e-04,1.078
7,443,1.47,1.99,0.53,1.36,0,0,0,1,0,0,1.85e-03,1.573
8,25,2.68,2.62,-0.05,0.98,0,0,0,1,1,0,2.97e-03,1.482
9,471,0.25,0.57,0.33,2.33,0,0,0,0,1,0,2.61e-03,1.334
10,99,1.25,1.86,0.60,1.48,0,0,0,1,0,0,4.18e-03,1.912
11,112,1.15,1.02,-0.14,0.88,0,0,0,0,0,0,2.26e-03,1.094
12,431,1.16,1.41,0.25,1.21,0,0,0,0,1,0,6.20e-04,0.957
13,37,1.03,0.89,-0.15,0.86,0,0,0,1,0,0,1.05e-03,1.802
14,481,1.57,1.28,-0.29,0.81,0,0,0,0,0,0,6.95e-04,1.371
15,244,1.34,2.22,0.88,1.66,0,0,0,0,0,0,1.61e-03,1.088
16,43,0.17,0.25,0.08,1.44,0,0,0,0,0,0,1.55e-03,1.767
17,329,0.18,0.16,-0.02,0.89,0,0,0,0,0,0,5.06e-03,1.629
18,247,3.72,6.13,2.41,1.65,0,1,0,0,1,0,2.35e-03,1.182
19,6,1.27,1.42,0.15,1.12,0,0,0,0,0,0,1.50e-03,1.286
20,406,3.36,5.24,1.88,1.56,0,1,0,0,0,0,3.50e-03,1.867
