sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,187,0.65,1.86,1.21,2.85,0,0,0,1,0,0,1.48e-03,1.358
2,376,0.92,1.65,0.73,1.79,0,0,0,1,1,0,9.59e-04,1.106
3,325,0.96,1.81,0.84,1.88,0,0,0,1,1,0,2.39e-03,1.343
4,449,0.81,1.52,0.71,1.87,0,0,0,0,0,0,3.16e-03,1.484
5,474,0.35,0.60,0.25,1.71,0,0,0,0,0,0,4.18e-03,1.621
6,24,0.82,1.74,0.92,2.12,0,0,0,0,0,0,3.70e-04,0.859
7,443,3.85,5.58,1.72,1.45,0,1,0,1,0,0,1.33e-03,1.482
8,25,2.48,2.07,-0.40,0.84,0,0,0,1,0,0,4.54e-03,1.559
9,471,0.31,0.73,0.42,2.36,0,0,0,1,1,0,2.36e-03,1.816
10,99,0.64,1.44,0.80,2.25,0,0,0,1,0,0,5.31e-03,1.968
11,112,1.18,1.18,0.00,1.00,0,0,0,0,0,0,2.52e-03,1.176
12,431,1.27,1.11,-0.16,0.87,0,0,0,1,1,0,1.09e-05,0.340
13,37,1.07,1.14,0.06,1.06,0,0,0,1,0,0,1.05e-03,1.540
14,481,1.19,1.27,0.08,1.07,0,0,0,0,0,0,1.06e-03,1.243
15,244,1.29,2.18,0.88,1.68,0,0,0,1,0,0,7.99e-04,1.823
16,43,0.18,0.19,0.01,1.08,0,0,0,0,1,0,4.44e-04,1.279
17,329,0.16,0.18,0.02,1.10,0,0,0,0,1,0,4.54e-03,1.558
18,247,3.97,6.07,2.10,1.53,0,1,0,0,0,0,2.04e-03,1.448
19,6,1.17,1.24,0.08,1.07,0,0,0,0,0,0,9.58e-04,0.913
20,406,2.54,3.78,1.24,1.49,0,0,0,1,0,0,4.58e-03,1.649
