sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.58,2.77,2.19,4.77,0,0,1,1,0,0,5.75e-05,1.388
2,366,0.90,4.70,3.80,5.21,1,0,1,1,0,0,1.73e-03,2.007
3,109,0.45,4.43,3.98,9.90,1,0,1,1,1,0,4.86e-04,1.684
4,437,0.76,4.86,4.11,6.43,1,0,1,1,0,0,1.77e-03,2.106
5,462,0.35,1.90,1.55,5.40,0,0,1,1,0,0,1.17e-04,1.733
6,22,0.35,1.82,1.47,5.17,0,0,1,1,0,0,2.86e-04,1.958
7,316,0.71,2.14,1.43,3.02,0,0,1,1,1,0,5.68e-04,1.806
8,420,0.11,0.83,0.72,7.59,0,0,1,0,0,0,1.08e-04,1.852
9,459,0.84,1.88,1.03,2.23,0,0,0,1,0,0,5.00e-04,1.696
10,97,0.47,1.38,0.91,2.96,0,0,0,1,1,0,2.24e-04,1.665
11,110,0.29,2.72,2.43,9.47,0,0,1,1,1,0,1.88e-04,1.014
12,272,0.13,1.58,1.45,11.78,0,0,1,1,0,0,1.21e-04,1.764
13,35,0.20,3.53,3.33,18.09,0,0,1,1,1,0,2.20e-05,2.107
14,481,0.06,0.58,0.52,9.69,0,0,1,1,0,0,1.67e-04,1.961
15,237,1.28,2.95,1.68,2.31,0,0,0,1,0,0,6.47e-04,2.233
16,41,0.54,0.91,0.37,1.69,0,0,0,1,1,0,3.79e-04,1.553
17,320,0.17,0.91,0.74,5.31,0,0,1,1,0,0,1.44e-03,2.149
18,240,1.04,1.76,0.72,1.69,0,0,0,0,0,0,1.44e-03,1.801
19,6,0.12,2.43,2.31,19.47,0,0,1,1,0,0,1.35e-04,1.954
20,396,0.34,2.65,2.30,7.69,0,0,1,1,0,0,9.64e-05,1.939
21,14,0.24,1.96,1.72,8.10,0,0,1,1,0,0,2.59e-04,1.863
22,15,1.27,3.40,2.12,2.67,0,0,0,1,1,0,3.22e-03,2.209
23,16,0.54,1.53,0.99,2.84,0,0,0,0,0,0,1.15e-03,1.871
24,23,0.81,3.07,2.25,3.77,0,0,1,1,0,0,1.84e-03,1.710
25,34,0.50,1.85,1.35,3.68,0,0,1,0,0,0,4.48e-04,1.813
26,36,0.07,2.64,2.57,38.66,0,0,1,1,1,0,2.33e-05,1.908
27,49,0.22,1.32,1.10,5.90,0,0,1,1,0,0,1.55e-03,2.353
28,102,0.93,2.38,1.45,2.56,0,0,0,1,0,0,2.17e-04,1.715
29,113,0.21,1.24,1.04,6.01,0,0,1,1,0,0,5.80e-05,1.988
30,136,0.76,1.91,1.15,2.52,0,0,0,0,0,0,5.46e-04,1.370
31,137,0.27,2.65,2.38,9.98,0,0,1,1,0,0,3.33e-04,1.663
32,139,0.34,1.26,0.92,3.73,0,0,1,1,1,0,1.91e-04,1.746
33,141,0.22,3.41,3.19,15.61,0,0,1,1,0,0,6.66e-05,1.989
34,163,1.74,2.52,0.77,1.44,0,0,0,1,0,0,2.43e-04,1.958
35,175,0.32,2.10,1.77,6.53,0,0,1,0,0,0,1.41e-03,1.716
36,190,0.22,3.53,3.30,15.77,0,0,1,1,0,0,3.00e-03,1.957
37,194,0.93,1.96,1.03,2.11,0,0,0,1,0,0,4.62e-04,1.892
38,195,0.41,2.49,2.08,6.13,0,0,1,1,1,0,1.07e-04,1.991
39,275,1.05,1.64,0.59,1.56,0,0,0,1,0,0,4.51e-04,1.571
40,279,0.82,3.37,2.55,4.09,0,0,1,1,0,0,2.00e-04,1.834
41,286,0.35,4.59,4.24,13.13,1,0,1,1,1,0,8.02e-05,1.786
42,287,0.36,1.41,1.05,3.94,0,0,1,1,0,0,4.06e-03,2.170
43,300,1.87,3.34,1.47,1.79,0,0,0,0,1,0,5.70e-04,1.924
44,303,0.39,1.97,1.58,5.10,0,0,1,1,0,0,1.96e-03,2.049
45,314,0.85,3.88,3.03,4.56,0,0,1,1,1,0,3.49e-03,2.421
46,333,0.69,1.30,0.61,1.88,0,0,0,0,1,0,1.64e-04,1.635
47,431,0.29,7.10,6.81,24.47,1,1,1,1,1,0,6.27e-03,2.301
48,432,0.11,0.47,0.36,4.27,0,0,1,1,1,0,1.90e-04,2.127
49,450,0.23,1.01,0.77,4.31,0,0,1,1,0,0,6.28e-05,1.781
50,452,0.45,1.59,1.15,3.57,0,0,1,1,0,0,1.00e-04,1.989
