sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,187,0.91,1.68,0.76,1.83,0,0,0,1,0,0,4.74e-11,0.000
2,376,0.90,1.61,0.71,1.80,0,0,0,1,1,0,6.16e-04,1.281
3,325,0.76,1.51,0.75,1.98,0,0,0,1,1,0,1.76e-03,1.529
4,449,1.00,0.71,-0.30,0.70,0,0,0,1,1,0,4.65e-03,1.579
5,474,0.62,0.86,0.24,1.39,0,0,0,1,1,0,6.13e-03,2.128
6,24,0.87,2.56,1.69,2.94,0,0,0,1,0,0,4.78e-04,1.048
7,443,1.47,2.00,0.54,1.37,0,0,0,1,0,0,1.94e-03,1.713
8,25,2.68,2.62,-0.05,0.98,0,0,0,1,1,0,3.37e-03,1.478
9,471,0.25,0.58,0.33,2.29,0,0,0,0,1,0,3.19e-03,1.663
10,99,0.66,1.25,0.60,1.90,0,0,0,1,0,0,1.53e-03,1.777
11,112,1.15,1.02,-0.14,0.88,0,0,0,0,0,0,2.29e-03,1.228
12,431,1.17,1.33,0.16,1.14,0,0,0,0,1,0,4.74e-04,0.904
13,37,1.03,0.89,-0.15,0.86,0,0,0,1,0,0,1.02e-03,1.545
14,481,1.57,1.28,-0.29,0.81,0,0,0,0,1,0,8.06e-04,1.147
15,244,1.34,2.22,0.88,1.66,0,0,0,0,0,0,1.48e-03,1.082
16,43,1.32,1.40,0.08,1.06,0,0,0,1,1,0,2.31e-03,1.426
17,329,1.73,1.59,-0.14,0.92,0,0,0,1,0,0,4.97e-03,1.447
18,247,3.72,6.13,2.41,1.65,0,1,0,0,1,0,2.51e-03,1.804
19,6,1.27,1.42,0.15,1.12,0,0,0,0,1,0,1.46e-03,1.288
20,406,4.00,4.87,0.87,1.22,0,0,0,1,0,0,3.31e-03,1.776
