sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,187,1.02,0.92,-0.10,0.90,0,0,0,1,0,0,1.44e-03,1.395
2,376,0.82,1.84,1.02,2.24,0,0,0,1,1,0,8.75e-04,1.432
3,325,1.01,1.20,0.19,1.19,0,0,0,1,1,0,1.12e-03,1.555
4,449,0.94,1.61,0.68,1.72,0,0,0,0,1,0,3.73e-03,1.537
5,474,0.34,0.36,0.02,1.05,0,0,0,0,1,0,3.73e-03,1.583
6,24,0.96,1.47,0.52,1.54,0,0,0,0,1,0,1.19e-04,0.767
7,443,1.69,2.95,1.26,1.74,0,0,0,1,1,0,1.64e-03,1.677
8,25,3.10,4.37,1.28,1.41,0,0,0,1,1,0,2.69e-03,1.414
9,471,0.24,0.53,0.29,2.20,0,0,0,1,1,0,2.09e-03,1.366
10,99,0.50,1.70,1.20,3.38,0,0,1,1,0,0,4.69e-03,1.904
11,112,1.00,1.05,0.05,1.05,0,0,0,0,1,0,1.76e-03,1.543
12,431,1.19,1.13,-0.06,0.95,0,0,0,0,1,0,8.16e-11,0.000
13,37,1.39,2.05,0.65,1.47,0,0,0,0,0,0,5.51e-04,1.164
14,481,1.30,1.17,-0.13,0.90,0,0,0,0,0,0,9.52e-04,1.155
15,244,1.43,1.93,0.50,1.35,0,0,0,1,0,0,8.93e-04,1.437
16,43,0.14,0.26,0.11,1.77,0,0,0,0,1,0,1.26e-03,1.668
17,329,0.17,0.12,-0.05,0.68,0,0,0,0,1,0,2.67e-04,1.383
18,247,4.63,7.75,3.11,1.67,0,1,0,1,1,0,2.57e-03,1.608
19,6,1.43,1.86,0.42,1.30,0,0,0,1,1,0,1.12e-03,0.908
20,406,1.99,4.55,2.56,2.29,0,0,0,1,0,0,4.47e-03,1.624
21,15,0.80,1.94,1.14,2.42,0,0,0,1,0,0,3.83e-04,0.996
22,17,0.76,0.92,0.15,1.20,0,0,0,0,1,0,3.33e-06,0.053
23,18,1.62,2.04,0.42,1.26,0,0,0,1,0,0,2.57e-03,2.013
24,36,2.12,6.00,3.88,2.83,0,1,0,1,1,0,9.82e-04,1.223
25,38,1.38,2.87,1.49,2.08,0,0,0,0,1,0,5.80e-04,1.060
26,51,1.53,2.67,1.15,1.75,0,0,0,1,0,0,2.22e-03,1.718
27,59,1.27,0.92,-0.35,0.73,0,0,0,0,1,0,1.85e-03,0.925
28,104,1.65,2.41,0.76,1.46,0,0,0,0,1,0,1.13e-03,1.116
29,111,1.33,1.23,-0.10,0.93,0,0,0,0,0,0,1.52e-10,0.000
30,115,4.68,10.51,5.83,2.25,1,1,0,1,0,0,1.20e-03,1.437
31,138,2.83,4.69,1.86,1.66,0,0,0,0,0,0,5.70e-04,1.124
32,139,1.85,3.61,1.75,1.95,0,0,0,1,0,0,5.13e-03,1.899
33,141,1.37,3.33,1.95,2.42,0,0,0,1,1,0,1.04e-03,0.902
34,143,1.15,1.88,0.72,1.63,0,0,0,1,1,0,7.12e-04,1.247
35,166,0.78,2.31,1.54,2.98,0,0,0,1,1,0,4.27e-03,1.811
36,180,0.81,1.55,0.73,1.90,0,0,0,1,1,0,9.59e-03,1.683
37,196,0.45,0.68,0.23,1.51,0,0,0,1,1,0,2.03e-03,1.816
38,200,3.88,7.13,3.25,1.84,0,1,0,1,0,0,1.45e-03,1.593
39,201,1.71,3.92,2.21,2.29,0,0,0,1,0,0,5.55e-03,1.903
40,281,1.48,3.27,1.78,2.20,0,0,0,1,0,0,3.01e-03,1.508
41,284,0.84,1.42,0.58,1.69,0,0,0,1,1,0,6.46e-04,1.494
42,288,0.26,0.59,0.33,2.29,0,0,0,1,1,0,8.77e-04,1.573
43,295,0.30,0.39,0.09,1.30,0,0,0,0,0,0,1.95e-03,1.785
44,296,0.86,0.97,0.11,1.13,0,0,0,0,0,0,1.01e-03,1.529
45,309,0.80,1.00,0.20,1.25,0,0,0,1,0,0,7.73e-04,1.454
46,312,0.65,0.85,0.21,1.32,0,0,0,1,1,0,1.56e-03,1.504
47,323,0.82,0.91,0.09,1.11,0,0,0,1,1,0,1.64e-03,1.514
48,342,2.40,3.65,1.25,1.52,0,0,0,1,0,0,2.72e-03,1.779
49,442,0.47,0.47,-0.00,1.00,0,0,0,1,0,0,1.86e-03,1.155
50,462,1.44,3.64,2.20,2.53,0,0,0,0,1,0,1.45e-03,1.843
