sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,1.32,4.67,3.36,3.55,0,0,1,1,0,0,1.31e-04,1.900
2,366,0.60,3.57,2.97,5.92,0,0,1,1,0,0,1.60e-03,1.897
3,109,0.30,3.24,2.94,10.77,0,0,1,1,0,0,6.72e-04,1.931
4,437,0.76,4.73,3.97,6.25,0,0,1,1,0,0,4.27e-03,2.231
5,462,0.39,5.89,5.50,14.95,1,1,1,1,0,0,9.30e-04,2.199
6,22,0.76,2.20,1.45,2.91,0,0,0,0,0,0,2.53e-04,1.926
7,316,1.05,3.64,2.59,3.46,0,0,1,1,0,0,4.42e-04,1.933
8,420,0.06,7.33,7.27,116.68,1,1,1,1,0,0,2.99e-04,1.743
9,459,0.68,2.42,1.74,3.57,0,0,1,1,0,0,1.13e-03,1.502
10,97,0.38,2.24,1.86,5.83,0,0,1,1,0,0,3.74e-04,1.595
11,110,0.30,1.19,0.90,4.02,0,0,1,0,0,0,3.22e-04,1.660
12,272,0.20,1.18,0.98,5.96,0,0,1,1,0,0,8.61e-05,1.778
13,35,0.32,3.42,3.10,10.72,0,0,1,1,0,0,5.17e-03,2.155
14,481,0.13,1.87,1.74,14.34,0,0,1,0,0,0,8.56e-05,1.846
15,237,0.96,4.85,3.89,5.05,0,0,1,1,0,0,9.12e-04,2.184
16,41,0.59,1.71,1.12,2.91,0,0,0,0,0,0,7.82e-04,1.652
17,320,0.11,2.88,2.77,27.00,0,0,1,1,0,0,9.37e-04,2.064
18,240,1.00,4.07,3.07,4.08,0,0,1,1,0,0,9.12e-04,1.323
19,6,0.20,6.87,6.67,33.95,1,1,1,1,0,0,2.91e-04,2.107
20,396,0.40,1.43,1.03,3.57,0,0,1,0,0,0,2.53e-04,2.077
