sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.23,1.37,1.15,6.09,0,0,1,0,0,0,4.99e-03,1.719
2,366,0.56,2.66,2.11,4.79,0,0,1,1,1,0,5.45e-05,0.804
3,109,0.34,1.39,1.05,4.09,0,0,1,1,0,0,1.99e-03,1.983
4,438,0.43,0.97,0.54,2.23,0,0,0,0,1,0,2.98e-05,0.941
5,462,1.27,6.41,5.14,5.05,1,1,1,1,1,0,1.01e-03,1.519
6,22,0.57,1.69,1.12,2.96,0,0,0,1,1,0,1.61e-03,1.762
7,316,0.22,4.17,3.95,18.88,1,0,1,0,1,0,1.30e-04,1.296
8,421,0.92,1.67,0.75,1.82,0,0,0,1,0,0,1.71e-03,1.840
9,459,1.30,2.61,1.31,2.00,0,0,0,1,0,0,4.80e-04,1.707
10,97,0.69,3.80,3.12,5.54,0,0,1,1,0,0,1.13e-03,1.747
11,110,0.93,2.08,1.15,2.24,0,0,0,1,0,0,1.13e-02,2.257
12,272,0.21,2.04,1.84,9.95,0,0,1,1,1,0,2.43e-05,1.435
13,35,0.40,1.75,1.35,4.40,0,0,1,0,1,0,3.67e-04,1.736
14,480,0.59,1.64,1.05,2.76,0,0,0,1,0,0,5.71e-05,1.279
15,237,0.24,0.96,0.73,4.06,0,0,1,0,1,0,3.76e-04,1.963
16,41,0.41,1.05,0.64,2.57,0,0,0,0,1,0,1.59e-05,0.642
17,320,0.74,2.54,1.80,3.42,0,0,1,1,0,0,1.52e-02,1.925
18,240,0.33,5.22,4.89,15.85,1,1,1,1,1,0,2.84e-05,1.504
19,6,0.25,15.92,15.67,64.74,1,1,1,1,1,0,7.81e-04,1.599
20,397,0.67,1.06,0.39,1.58,0,0,0,1,0,0,8.00e-05,1.283
