sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.23,1.37,1.15,6.09,0,0,1,0,1,0,4.99e-03,1.719
2,366,0.56,2.66,2.11,4.79,0,0,1,1,1,0,5.45e-05,0.804
3,109,0.34,1.39,1.05,4.09,0,0,1,1,1,0,1.99e-03,1.983
4,438,0.43,0.97,0.54,2.23,0,0,0,0,1,0,2.98e-05,0.941
5,462,1.27,6.41,5.14,5.05,1,1,1,1,1,0,1.01e-03,1.519
6,22,0.57,1.69,1.12,2.96,0,0,0,1,1,0,1.61e-03,1.762
7,316,0.22,4.17,3.95,18.88,1,0,1,0,1,0,1.30e-04,1.296
8,421,0.92,1.67,0.75,1.82,0,0,0,1,0,0,1.71e-03,1.840
9,459,1.30,2.61,1.31,2.00,0,0,0,1,1,0,4.80e-04,1.707
10,97,0.69,3.80,3.12,5.54,0,0,1,1,0,0,1.13e-03,1.747
11,110,0.93,2.08,1.15,2.24,0,0,0,1,1,0,1.13e-02,2.257
12,272,0.21,2.04,1.84,9.95,0,0,1,1,1,0,2.43e-05,1.435
13,35,0.40,1.75,1.35,4.40,0,0,1,0,1,0,3.67e-04,1.736
14,480,0.59,1.64,1.05,2.76,0,0,0,1,0,0,5.71e-05,1.279
15,237,0.24,0.96,0.73,4.06,0,0,1,0,1,0,3.76e-04,1.963
16,41,0.41,1.05,0.64,2.57,0,0,0,0,1,0,1.59e-05,0.642
17,320,0.74,2.54,1.80,3.42,0,0,1,1,0,0,1.52e-02,1.925
18,240,0.33,5.22,4.89,15.85,1,1,1,1,1,0,2.84e-05,1.504
19,6,0.25,15.92,15.67,64.74,1,1,1,1,1,0,7.81e-04,1.599
20,397,0.67,1.06,0.39,1.58,0,0,0,1,1,0,8.00e-05,1.283
21,14,0.71,1.20,0.49,1.70,0,0,0,1,0,0,2.83e-04,1.266
22,15,0.18,2.17,1.99,12.26,0,0,1,1,1,0,5.33e-03,1.816
23,16,0.43,1.85,1.42,4.27,0,0,1,1,0,0,3.54e-04,1.157
24,23,0.23,6.60,6.37,28.61,1,1,1,0,1,0,7.27e-04,1.125
25,34,1.13,4.09,2.96,3.61,0,0,1,0,1,0,2.24e-04,1.368
26,36,0.13,0.93,0.79,6.96,0,0,1,1,1,0,2.59e-04,1.476
27,49,0.70,2.56,1.86,3.66,0,0,1,1,0,0,2.19e-04,1.693
28,102,0.42,1.24,0.82,2.96,0,0,0,1,1,0,7.13e-06,0.646
29,113,0.95,1.89,0.93,1.98,0,0,0,1,0,0,3.94e-04,1.366
30,136,0.17,6.20,6.03,35.89,1,1,1,1,1,0,1.02e-05,0.824
31,137,0.36,1.55,1.19,4.32,0,0,1,0,1,0,5.81e-04,1.618
32,139,0.08,2.41,2.33,31.39,0,0,1,1,1,0,4.40e-03,1.895
33,141,0.61,1.28,0.67,2.10,0,0,0,1,0,0,3.18e-03,1.718
34,163,0.51,2.78,2.28,5.49,0,0,1,0,1,0,6.63e-03,1.815
35,175,0.68,1.40,0.71,2.04,0,0,0,0,1,0,1.43e-05,1.031
36,190,0.23,5.98,5.75,26.14,1,1,1,1,1,0,2.54e-04,1.562
37,194,0.41,0.88,0.47,2.13,0,0,0,0,0,0,2.86e-05,1.008
38,195,0.98,2.28,1.30,2.34,0,0,0,0,0,0,2.23e-04,1.642
39,275,1.27,5.51,4.25,4.35,1,1,1,1,1,0,1.26e-03,2.044
40,279,0.75,3.93,3.18,5.23,1,0,1,0,1,0,2.06e-04,1.202
41,286,0.48,4.18,3.70,8.70,1,0,1,1,0,0,6.26e-03,1.700
42,287,0.41,2.17,1.76,5.29,0,0,1,1,0,0,1.42e-03,1.763
43,300,0.94,3.06,2.12,3.25,0,0,1,1,0,0,2.01e-03,2.221
44,303,0.42,2.10,1.69,5.04,0,0,1,1,1,0,1.89e-04,1.344
45,314,0.49,3.18,2.69,6.52,0,0,1,1,0,0,6.89e-05,1.163
46,333,0.45,7.51,7.05,16.56,1,1,1,1,1,0,4.86e-03,1.471
47,432,0.85,4.87,4.02,5.75,1,0,1,1,0,0,3.02e-05,1.415
48,433,0.51,4.20,3.69,8.26,1,0,1,0,1,0,1.80e-03,1.367
49,450,0.70,5.43,4.73,7.73,1,1,1,1,0,0,3.53e-05,1.422
50,452,1.02,1.56,0.53,1.52,0,0,0,1,1,0,1.26e-04,1.702
