sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,1.09,3.12,2.03,2.87,0,0,0,1,0,0,1.20e-04,1.629
2,366,0.99,1.66,0.66,1.67,0,0,0,1,0,0,1.72e-03,2.330
3,109,0.43,1.47,1.04,3.45,0,0,1,1,0,0,5.29e-04,1.940
4,437,0.81,2.93,2.11,3.60,0,0,1,0,0,0,1.22e-03,2.014
5,462,0.60,3.33,2.73,5.57,0,0,1,1,0,0,1.16e-04,2.017
6,22,0.29,2.01,1.73,7.00,0,0,1,1,0,0,4.04e-04,1.882
7,316,0.71,2.14,1.44,3.03,0,0,1,1,0,0,1.61e-04,1.467
8,420,0.18,0.63,0.45,3.55,0,0,1,1,1,0,1.69e-03,2.042
9,459,0.80,2.28,1.49,2.87,0,0,0,1,0,0,7.21e-04,1.711
10,97,0.59,1.01,0.42,1.70,0,0,0,1,1,0,3.14e-04,1.902
11,110,0.20,2.08,1.88,10.30,0,0,1,0,0,0,2.77e-04,1.297
12,272,0.21,0.57,0.37,2.75,0,0,0,0,0,0,1.14e-04,1.818
13,35,0.23,1.40,1.16,5.95,0,0,1,1,0,0,1.04e-02,2.282
14,481,0.11,3.40,3.29,31.71,0,0,1,1,0,0,3.33e-03,2.103
15,237,1.27,2.01,0.75,1.59,0,0,0,1,0,0,1.60e-03,2.324
16,41,0.54,1.28,0.74,2.36,0,0,0,1,0,0,4.30e-04,1.355
17,320,0.10,1.35,1.24,12.92,0,0,1,0,1,0,1.49e-03,2.184
18,240,1.04,1.77,0.72,1.69,0,0,0,0,0,0,7.95e-06,0.434
19,6,0.22,2.53,2.31,11.73,0,0,1,0,1,0,1.62e-04,2.244
20,396,0.35,1.88,1.53,5.33,0,0,1,1,0,0,1.23e-04,1.850
