sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.15,2.16,2.01,14.55,0,0,1,1,1,0,1.58e-03,1.130
2,366,0.75,2.93,2.18,3.91,0,0,1,0,1,0,6.98e-05,1.192
3,109,0.27,0.54,0.27,2.03,0,0,0,0,1,0,7.87e-04,1.736
4,438,0.48,2.66,2.18,5.53,0,0,1,1,0,0,1.97e-04,1.429
5,462,0.57,1.66,1.09,2.90,0,0,0,0,0,0,9.44e-04,1.965
6,22,0.48,1.56,1.08,3.23,0,0,1,1,1,0,6.04e-05,0.705
7,316,0.46,3.99,3.52,8.59,1,0,1,1,0,0,1.02e-04,1.267
8,421,0.76,2.10,1.34,2.77,0,0,0,1,0,0,1.58e-03,1.133
9,459,1.14,3.03,1.89,2.65,0,0,0,0,0,0,1.45e-04,0.913
10,97,0.38,1.71,1.33,4.46,0,0,1,0,1,0,5.18e-04,2.023
11,110,1.23,3.09,1.87,2.52,0,0,0,0,1,0,1.22e-02,1.650
12,272,0.20,3.90,3.70,19.39,1,0,1,1,1,0,1.39e-05,1.317
13,35,0.38,2.43,2.05,6.44,0,0,1,1,0,0,3.55e-04,1.744
14,480,0.27,5.51,5.24,20.49,1,1,1,1,1,0,2.57e-05,1.485
15,237,0.39,23.57,23.19,60.89,1,1,1,1,0,0,5.24e-05,1.362
16,41,0.38,1.29,0.91,3.39,0,0,1,1,1,0,9.27e-06,0.750
17,320,0.53,2.13,1.60,4.05,0,0,1,0,1,0,1.16e-02,1.731
18,240,0.18,1.75,1.57,9.96,0,0,1,0,0,0,1.40e-05,1.639
19,6,0.24,0.92,0.68,3.89,0,0,1,1,0,0,1.39e-03,1.397
20,397,0.48,0.83,0.35,1.72,0,0,0,0,1,0,4.91e-04,1.636
