sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,182,0.17,1.25,1.08,7.37,0,0,1,0,1,0,4.97e-03,1.916
2,366,0.49,2.15,1.66,4.39,0,0,1,1,1,0,9.90e-06,0.671
3,109,0.32,0.63,0.31,1.96,0,0,0,0,0,0,1.94e-03,1.790
4,438,0.43,1.26,0.82,2.90,0,0,0,1,0,0,1.69e-04,1.194
5,462,1.04,1.49,0.46,1.44,0,0,0,1,1,0,1.37e-03,1.702
6,22,0.41,1.44,1.03,3.49,0,0,1,1,0,0,3.24e-03,1.559
7,316,0.22,1.03,0.81,4.78,0,0,1,0,1,0,1.47e-04,1.550
8,421,1.01,1.53,0.51,1.51,0,0,0,1,0,0,1.56e-03,1.565
9,459,1.39,3.46,2.06,2.48,0,0,0,0,0,0,6.90e-03,1.834
10,97,0.68,2.30,1.63,3.40,0,0,1,1,0,0,8.49e-04,2.048
11,110,0.88,1.72,0.84,1.95,0,0,0,1,0,0,9.86e-03,1.835
12,272,0.20,2.72,2.52,13.30,0,0,1,1,0,0,1.75e-05,1.298
13,35,0.43,1.57,1.14,3.64,0,0,1,1,0,0,2.15e-04,1.463
14,480,0.21,0.37,0.16,1.79,0,0,0,0,0,0,5.37e-05,1.556
15,237,0.53,1.20,0.67,2.26,0,0,0,0,0,0,2.35e-04,1.147
16,41,0.74,0.74,-0.00,1.00,0,0,0,0,0,0,2.62e-04,1.370
17,320,0.40,1.53,1.12,3.79,0,0,1,1,1,0,1.59e-02,2.069
18,240,0.24,3.34,3.09,13.72,0,0,1,1,1,0,4.32e-05,1.777
19,6,0.20,0.98,0.78,4.84,0,0,1,0,0,0,9.07e-05,1.330
20,397,0.44,1.53,1.10,3.51,0,0,1,0,0,0,6.58e-06,1.144
