structure,seed,n_valid,surrogate_pass,surrogate_pass_ci,rcwa_pass,rcwa_pass_ci,pretender,pretender_ci,flagged,flagged_ci,flag_threshold_pct,mode_count,t1,t2,t3,t4,tail_rsd_mean,endpoint_spread_u_mean,rho,rho_ci95,p
A,42,20,20,"[83.9, 100.0]",19,"[76.4, 99.1]",1,"[0.9, 23.6]",2,"[2.8, 30.1]",3.51,20,16,14,0,0,0.0102,1.832,0.34,"[-0.13, 0.69]",0.143
A,123,20,20,"[83.9, 100.0]",20,"[83.9, 100.0]",0,"[0.0, 16.1]",3,"[5.2, 36.0]",3.55,19,15,18,2,0,0.0124,1.819,0.454,"[-0.01, 0.76]",0.044
A,777,19,19,"[83.2, 100.0]",18,"[75.4, 99.1]",1,"[0.9, 24.6]",2,"[2.9, 31.4]",3.35,20,13,14,0,0,0.004,1.882,0.186,"[-0.30, 0.59]",0.446
B,42,20,20,"[83.9, 100.0]",17,"[64.0, 94.8]",3,"[5.2, 36.0]",7,"[18.1, 56.7]",3.44,16,17,15,7,0,0.0059,1.595,0.117,"[-0.34, 0.53]",0.622
B,123,20,20,"[83.9, 100.0]",17,"[64.0, 94.8]",3,"[5.2, 36.0]",4,"[8.1, 41.6]",3.15,12,12,14,11,0,0.0053,1.547,0.146,"[-0.32, 0.55]",0.539
B,777,20,20,"[83.9, 100.0]",17,"[64.0, 94.8]",3,"[5.2, 36.0]",5,"[11.2, 46.9]",3.36,16,12,12,7,0,0.011,1.537,-0.119,"[-0.53, 0.34]",0.618
C,42,20,20,"[83.9, 100.0]",18,"[69.9, 97.2]",2,"[2.8, 30.1]",1,"[0.9, 23.6]",4.21,17,1,9,5,0,0.0015,1.409,0.75,"[0.41, 0.91]",0.0
C,123,20,20,"[83.9, 100.0]",19,"[76.4, 99.1]",1,"[0.9, 23.6]",0,"[0.0, 16.1]",4.21,15,1,11,9,0,0.0045,1.356,0.829,"[0.56, 0.94]",0.0
C,777,20,20,"[83.9, 100.0]",18,"[69.9, 97.2]",2,"[2.8, 30.1]",0,"[0.0, 16.1]",4.08,17,0,9,6,0,0.002,1.431,0.719,"[0.36, 0.89]",0.0
