sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,358,0.64,1.69,1.05,2.66,0,0,0,0,1,0,2.75e-04,1.458
2,43,1.00,2.08,1.07,2.07,0,0,0,1,1,0,8.67e-03,1.970
3,24,0.45,2.56,2.11,5.69,0,0,1,0,1,0,2.62e-04,1.571
4,428,0.42,4.07,3.66,9.75,0,0,1,1,0,0,4.43e-04,1.651
5,487,1.26,4.44,3.18,3.51,0,0,1,0,1,0,1.86e-04,1.540
6,396,1.00,3.16,2.16,3.17,0,0,1,0,1,0,2.15e-04,0.940
7,302,1.16,12.76,11.60,10.98,1,1,1,1,0,0,1.62e-03,1.924
8,468,0.79,12.28,11.48,15.51,1,1,1,0,1,0,2.98e-04,1.676
9,310,0.71,2.16,1.45,3.04,0,0,1,1,0,0,2.71e-03,1.983
10,38,1.61,7.03,5.42,4.37,0,1,1,1,0,0,4.64e-03,1.927
11,16,0.86,6.27,5.42,7.32,0,1,1,1,1,0,5.21e-03,2.016
12,168,0.24,5.52,5.28,22.57,0,1,1,0,0,0,2.04e-03,1.851
13,339,0.30,4.49,4.19,14.93,0,0,1,1,0,0,2.98e-04,1.651
14,146,0.25,5.16,4.91,20.35,0,1,1,1,0,0,8.23e-04,1.553
15,118,0.51,33.58,33.07,65.98,1,1,1,1,0,0,1.17e-04,1.551
16,481,1.13,4.96,3.82,4.38,0,0,1,1,0,0,6.10e-04,1.714
17,172,0.34,4.64,4.29,13.58,0,0,1,1,0,0,3.77e-05,1.280
18,311,1.11,9.27,8.16,8.35,1,1,1,1,0,0,1.97e-03,1.960
19,51,0.80,21.24,20.44,26.58,1,1,1,1,0,0,1.57e-03,1.860
20,255,1.02,13.14,12.13,12.94,1,1,1,1,0,0,2.88e-03,1.725
