sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,190,0.04,2.14,2.10,52.80,0,0,1,1,0,0,4.32e-04,2.200
2,381,0.73,4.04,3.31,5.54,0,0,1,1,0,0,3.75e-04,2.042
3,451,1.04,4.60,3.56,4.41,0,0,1,1,0,0,9.60e-03,1.686
4,456,0.06,10.08,10.02,157.58,1,1,1,1,0,0,1.22e-03,2.186
5,482,0.10,4.37,4.27,44.29,0,0,1,1,0,0,2.25e-04,2.146
6,24,0.31,8.76,8.45,28.36,0,1,1,1,0,0,2.23e-03,2.062
7,16,0.50,7.13,6.63,14.35,0,1,1,1,0,0,8.04e-04,1.877
8,289,0.32,3.97,3.65,12.46,0,0,1,1,1,0,1.50e-03,1.945
9,327,0.52,5.81,5.29,11.10,0,1,1,1,0,0,4.20e-04,2.085
10,101,0.53,3.98,3.45,7.51,0,0,1,1,0,0,2.75e-04,2.030
11,249,0.57,4.65,4.08,8.11,0,0,1,0,0,0,8.65e-04,1.667
12,25,0.39,9.12,8.73,23.14,0,1,1,0,1,0,6.46e-04,1.687
13,37,0.75,7.94,7.19,10.64,0,1,1,0,0,0,7.33e-03,1.829
14,481,0.25,3.50,3.25,13.75,0,0,1,1,0,0,4.01e-05,2.086
15,246,2.63,6.81,4.18,2.59,0,1,0,1,0,0,7.50e-03,1.822
16,43,0.24,2.82,2.59,11.99,0,0,1,1,0,0,1.10e-04,1.967
17,333,0.65,8.08,7.42,12.36,0,1,1,0,1,0,2.98e-03,2.109
18,312,2.33,9.62,7.29,4.12,0,1,1,1,0,0,7.28e-04,2.074
19,6,0.11,3.17,3.06,28.07,0,0,1,1,0,0,5.50e-05,2.005
20,413,0.06,4.26,4.20,69.99,0,0,1,1,0,0,1.02e-04,2.093
