mae_rcwa_o5_pct,mae_rcwa_o7_pct,mae_surr_pct,n_box_edge,n_violations,orig_index,peak_shift_nm,pixel_nm,seed,smallest_feature_nm,status,structure,target_no,twice_R_out_over_P,violated_rules,true_P,true_R_disk,true_R_in,true_R_out,true_W2,true_Wx,true_Wy,true_d1,true_d2,true_d_SiO2,true_phi,true_t1,true_t2,true_t_Cr,true_t_mid,true_theta,committed_P,committed_R_disk,committed_R_in,committed_R_out,committed_W2,committed_Wx,committed_Wy,committed_d1,committed_d2,committed_d_SiO2,committed_phi,committed_t1,committed_t2,committed_t_Cr,committed_t_mid,committed_theta
4.527,,0.968,2,1,43,+28,9.12,123,5.2,confirmed,B,2,0.872,R_disk>R_in-10,550.71,52.42,64.99,232.83,,,,,,128.2,4.15,,,59.11,,16.81,583.79,24.77,30.0,254.4,,,,,,124.77,10.42,,,57.33,,2.3
3.774,,0.466,0,0,24,+42,8.07,123,56.6,confirmed,B,3,0.882,,510.85,55.52,159.53,207.63,,,,,,163.63,14.4,,,70.08,,46.11,516.56,77.24,168.98,227.84,,,,,,157.8,26.78,,,56.62,,39.24
3.497,,0.559,1,0,428,-14,6.59,123,17.7,confirmed,B,4,0.566,,427.57,44.59,85.87,95.87,,,,,,58.56,14.25,,,74.83,,14.63,421.95,57.96,101.72,119.46,,,,,,50.0,33.36,,,61.82,,12.52
3.894,,1.152,1,1,487,-99,8.05,123,7.5,confirmed,B,5,0.84,R_in>R_out-10,497.81,85.76,214.01,224.01,,,,,,100.39,34.21,,,45.47,,28.11,515.33,82.74,209.04,216.53,,,,,,97.94,45.0,,,58.19,,19.85
2.911,,0.899,0,1,396,+99,6.63,123,29.1,confirmed,B,6,0.922,R_out>0.45P,505.83,56.82,207.81,227.62,,,,,,120.72,40.47,,,45.6,,39.88,424.41,72.09,166.63,195.75,,,,,,107.62,22.66,,,40.2,,38.86
16.432,,0.557,2,2,302,+749,5.94,123,-28.4,pretender,B,7,1.142,R_out>0.45P;R_in>R_out-10,569.2,18.63,108.97,118.97,,,,,,168.46,21.97,,,23.74,,6.08,379.99,76.6,245.28,216.93,,,,,,185.37,45.0,,,20.0,,34.96
10.679,,0.392,2,1,468,+424,5.21,123,-1.4,pretender,B,8,0.848,R_disk>R_in-10,332.38,50.2,60.2,149.57,,,,,,133.61,0.22,,,26.85,,53.19,333.19,96.92,95.53,141.2,,,,,,143.87,45.0,,,31.95,,56.38
3.074,,0.612,1,1,310,-14,7.64,123,25.7,confirmed,B,9,0.992,R_out>0.45P,684.92,79.57,264.33,295.91,,,,,,63.83,36.98,,,21.52,,45.72,488.82,25.3,216.64,242.35,,,,,,78.61,43.24,,,44.85,,52.74
5.347,,1.355,4,1,38,-57,11.13,123,2.5,pretender,B,10,0.443,R_in>R_out-10,746.58,34.04,87.01,97.01,,,,,,199.43,3.71,,,55.28,,58.84,712.33,100.0,155.17,157.64,,,,,,200.0,0.0,,,44.93,,60.0
6.873,,0.899,3,0,16,+0,9.95,123,30.9,pretender,B,11,0.864,,639.18,41.69,66.86,287.63,,,,,,198.21,5.07,,,33.01,,15.99,636.94,10.0,40.88,275.19,,,,,,194.62,5.3,,,44.94,,20.67
25.793,,0.592,3,1,168,-156,7.45,123,38.5,pretender,B,12,1.109,R_out>0.45P,443.83,49.37,108.69,199.72,,,,,,101.77,8.69,,,73.63,,44.31,476.63,10.0,48.53,264.33,,,,,,53.38,39.78,,,54.84,,0.0
3.747,,0.318,0,0,339,+0,9.41,123,14.1,confirmed,B,13,0.47,,498.85,29.98,92.55,102.55,,,,,,150.03,35.65,,,31.87,,23.36,602.54,31.91,127.47,141.61,,,,,,142.56,13.72,,,28.44,,6.07
9.42,,0.304,1,1,146,+57,7.28,123,28.3,pretender,B,14,1.286,R_out>0.45P,319.57,59.13,133.81,143.81,,,,,,119.43,9.09,,,68.34,,1.21,466.05,66.86,271.32,299.63,,,,,,126.04,0.0,,,67.81,,18.61
26.961,,0.342,1,1,118,-636,7.56,123,28.7,pretender,B,15,1.335,R_out>0.45P,455.95,62.15,122.19,132.19,,,,,,141.87,40.88,,,71.7,,5.61,483.97,54.69,294.24,322.95,,,,,,155.18,35.97,,,52.31,,23.28
4.502,,1.118,2,0,481,+57,12.5,123,21.7,confirmed,B,16,0.617,,689.32,46.48,155.93,265.05,,,,,,182.14,6.46,,,35.37,,57.75,800.0,66.64,168.99,246.99,,,,,,174.25,13.39,,,21.68,,49.34
10.166,,0.425,2,1,172,+537,5.23,123,10.2,pretender,B,17,0.956,R_out>0.45P,376.15,97.9,159.27,169.27,,,,,,68.86,13.32,,,68.88,,47.37,334.55,82.17,149.71,159.88,,,,,,78.12,0.0,,,80.0,,46.11
5.514,,1.017,3,2,311,-552,7.52,123,-36.0,pretender,B,18,0.982,R_out>0.45P;R_disk>R_in-10,446.42,42.44,83.62,200.89,,,,,,98.24,0.94,,,62.67,,52.29,481.09,75.84,39.81,236.19,,,,,,115.98,45.0,,,22.95,,53.74
2.005,,0.532,1,0,51,-14,11.25,123,13.7,confirmed,B,19,0.641,,478.2,36.67,205.19,215.19,,,,,,185.11,29.44,,,23.66,,54.13,720.07,10.0,217.13,230.78,,,,,,173.84,16.06,,,41.75,,49.62
17.5,,1.472,3,1,255,-57,5.14,123,77.8,pretender,B,20,1.233,R_out>0.45P,356.42,44.25,54.25,160.39,,,,,,51.12,20.16,,,32.45,,21.94,329.25,10.0,125.19,203.03,,,,,,174.57,45.0,,,80.0,,12.45
1.687,,0.635,0,0,358,-14,8.68,777,52.2,confirmed,B,1,0.88,,650.12,46.67,239.98,292.42,,,,,,130.18,7.3,,,65.06,,15.51,555.68,20.57,178.61,244.61,,,,,,146.19,27.29,,,52.25,,34.8
2.077,,1.002,1,1,43,+14,8.99,777,5.2,confirmed,B,2,0.847,R_disk>R_in-10,550.71,52.42,64.99,232.83,,,,,,128.2,4.15,,,59.11,,16.81,575.37,24.77,30.0,243.71,,,,,,130.2,12.66,,,51.48,,16.67
2.564,,0.451,0,1,24,+0,7.83,777,47.4,confirmed,B,3,0.932,R_out>0.45P,510.85,55.52,159.53,207.63,,,,,,163.63,14.4,,,70.08,,46.11,501.3,83.76,167.82,233.66,,,,,,154.13,35.57,,,47.4,,32.38
4.074,,0.418,1,0,428,+0,6.34,777,23.5,confirmed,B,4,0.605,,427.57,44.59,85.87,95.87,,,,,,58.56,14.25,,,74.83,,14.63,405.75,51.0,99.31,122.82,,,,,,50.0,39.61,,,59.2,,19.68
4.441,,1.264,0,1,487,-113,8.3,777,9.3,confirmed,B,5,0.824,R_in>R_out-10,497.81,85.76,214.01,224.01,,,,,,100.39,34.21,,,45.47,,28.11,531.19,82.54,209.55,218.84,,,,,,103.97,41.15,,,57.73,,29.21
3.156,,0.997,0,0,396,+0,8.46,777,42.4,confirmed,B,6,0.821,,505.83,56.82,207.81,227.62,,,,,,120.72,40.47,,,45.6,,39.88,541.58,58.65,180.04,222.42,,,,,,114.9,41.32,,,49.38,,30.71
12.762,,1.162,3,2,302,+0,4.69,777,-43.4,pretender,B,7,1.711,R_out>0.45P;R_in>R_out-10,569.2,18.63,108.97,118.97,,,,,,168.46,21.97,,,23.74,,6.08,300.0,66.01,300.0,256.63,,,,,,183.18,4.15,,,20.0,,34.25
12.276,,0.791,0,1,468,-665,6.91,777,18.5,pretender,B,8,0.999,R_out>0.45P,332.38,50.2,60.2,149.57,,,,,,133.61,0.22,,,26.85,,53.19,442.43,80.74,99.23,220.94,,,,,,160.14,39.79,,,30.18,,53.09
2.158,,0.71,1,0,310,-14,11.13,777,18.6,confirmed,B,9,0.787,,684.92,79.57,264.33,295.91,,,,,,63.83,36.98,,,21.52,,45.72,712.31,42.23,261.9,280.46,,,,,,63.2,45.0,,,59.79,,51.07
7.034,,1.611,4,1,38,+28,12.5,777,-5.1,pretender,B,10,0.314,R_in>R_out-10,746.58,34.04,87.01,97.01,,,,,,199.43,3.71,,,55.28,,58.84,800.0,93.96,130.63,125.51,,,,,,200.0,0.0,,,74.55,,60.0
6.274,,0.858,3,0,16,+0,10.09,777,26.3,pretender,B,11,0.88,,639.18,41.69,66.86,287.63,,,,,,198.21,5.07,,,33.01,,15.99,645.66,10.0,36.32,284.01,,,,,,196.04,4.38,,,46.72,,23.72
5.524,,0.245,0,0,168,+1089,6.63,777,38.3,pretender,B,12,0.888,,443.83,49.37,108.69,199.72,,,,,,101.77,8.69,,,73.63,,44.31,424.31,22.42,65.92,188.41,,,,,,95.08,24.16,,,38.33,,55.34
4.49,,0.301,1,0,339,-14,9.18,777,13.7,confirmed,B,13,0.454,,498.85,29.98,92.55,102.55,,,,,,150.03,35.65,,,31.87,,23.36,587.71,33.21,119.72,133.39,,,,,,142.08,22.1,,,27.77,,2.37
5.164,,0.254,2,1,146,+99,4.75,777,12.3,pretender,B,14,1.192,R_out>0.45P,319.57,59.13,133.81,143.81,,,,,,119.43,9.09,,,68.34,,1.21,303.94,48.82,168.81,181.12,,,,,,132.21,2.11,,,65.69,,26.05
33.583,,0.509,1,1,118,-42,7.16,777,21.2,pretender,B,15,1.402,R_out>0.45P,455.95,62.15,122.19,132.19,,,,,,141.87,40.88,,,71.7,,5.61,458.14,54.47,300.0,321.2,,,,,,166.33,25.03,,,59.47,,41.46
4.957,,1.133,1,0,481,+71,12.5,777,30.3,confirmed,B,16,0.713,,689.32,46.48,155.93,265.05,,,,,,182.14,6.46,,,35.37,,57.75,800.0,91.85,205.88,285.36,,,,,,179.93,7.3,,,30.32,,55.93
4.635,,0.341,1,0,172,-42,6.65,777,19.3,confirmed,B,17,0.46,,376.15,97.9,159.27,169.27,,,,,,68.86,13.32,,,68.88,,47.37,425.85,44.04,63.38,97.89,,,,,,52.51,2.47,,,44.04,,37.49
9.271,,1.111,1,2,311,-834,9.98,777,-1.4,pretender,B,18,1.028,R_out>0.45P;R_disk>R_in-10,446.42,42.44,83.62,200.89,,,,,,98.24,0.94,,,62.67,,52.29,638.74,100.0,98.63,328.17,,,,,,79.95,42.17,,,24.73,,43.94
21.243,,0.799,1,2,51,+14,6.61,777,-1.5,pretender,B,19,1.138,R_out>0.45P;R_in>R_out-10,478.2,36.67,205.19,215.19,,,,,,185.11,29.44,,,23.66,,54.13,423.26,25.88,242.35,240.88,,,,,,175.98,0.0,,,47.37,,53.36
13.143,,1.016,2,1,255,+1343,4.69,777,42.6,pretender,B,20,1.281,R_out>0.45P,356.42,44.25,54.25,160.39,,,,,,51.12,20.16,,,32.45,,21.94,300.0,47.94,149.53,192.16,,,,,,200.0,42.19,,,75.54,,39.85
9.15,6.96,2.572,1,1,363,+14/-255,6.9,42,60.1,pretender,C,1,,Wy>0.9P,341.83,,,,,252.74,307.65,,,167.98,32.98,,,39.55,,53.72,441.63,,,,,190.13,555.06,,,141.53,45.0,,,60.13,,20.48
3.603,17.672,0.502,0,0,221,+127/+42,5.23,42,38.9,confirmed,C,2,,,315.01,,,,,283.51,283.51,,,189.48,43.06,,,38.65,,50.78,334.79,,,,,300.32,297.42,,,161.97,19.01,,,38.87,,20.8
3.786,4.615,2.159,0,1,399,-99/+0,7.53,42,34.3,confirmed,C,3,,Wy>0.9P,429.02,,,,,356.86,386.12,,,197.82,42.66,,,26.23,,58.88,481.92,,,,,326.1,439.57,,,164.65,34.4,,,34.33,,27.33
3.416,4.054,1.746,0,0,382,+14/+42,11.34,42,52.9,confirmed,C,4,,,681.54,,,,,380.24,376.45,,,162.4,17.33,,,45.22,,26.61,726.01,,,,,385.75,371.4,,,160.77,13.36,,,52.87,,25.25
3.373,8.429,1.089,0,0,121,+0/+156,6.06,42,39.7,confirmed,C,5,,,416.92,,,,,375.23,318.05,,,158.89,19.18,,,35.92,,14.08,388.13,,,,,344.86,308.98,,,162.85,17.76,,,39.73,,27.54
3.801,3.88,1.752,0,1,178,+0/+0,8.5,42,74.0,confirmed,C,6,,Wx>0.9P,529.73,,,,,476.76,285.58,,,163.26,32.35,,,72.64,,6.6,543.93,,,,,498.67,295.31,,,166.26,11.93,,,73.96,,10.5
5.588,5.839,3.88,0,0,203,+382/+0,5.85,42,27.5,pretender,C,7,,,360.95,,,,,220.99,313.88,,,182.24,27.44,,,39.68,,35.12,374.69,,,,,252.47,306.98,,,174.8,15.91,,,27.46,,19.97
5.717,7.8,0.419,0,1,341,+113/-354,6.31,42,26.2,pretender,C,8,,Wx>0.9P,383.36,,,,,345.02,345.02,,,126.12,28.7,,,26.54,,27.43,404.08,,,,,374.38,360.83,,,123.97,24.71,,,26.2,,26.7
6.867,9.649,1.357,2,1,139,-113/+0,4.69,42,80.0,pretender,C,9,,Wx>0.9P,391.22,,,,,352.09,267.28,,,186.35,11.78,,,79.43,,20.48,300.0,,,,,309.2,174.1,,,191.24,7.16,,,80.0,,14.09
6.491,6.126,3.29,1,0,244,+127/+28,11.63,42,44.2,pretender,C,10,,,689.26,,,,,499.82,515.65,,,187.86,37.87,,,65.57,,39.9,744.16,,,,,553.11,579.58,,,107.87,43.61,,,44.16,,49.67
11.059,11.074,3.879,1,0,176,+42/+156,5.27,42,65.2,pretender,C,11,,,326.87,,,,,294.18,105.95,,,79.8,14.5,,,59.34,,5.34,337.06,,,,,65.25,169.84,,,64.76,41.93,,,72.49,,39.21
5.669,6.676,0.831,0,1,271,+1174/+0,8.68,42,55.1,pretender,C,12,,Wx>0.9P,612.15,,,,,550.93,550.33,,,99.82,8.7,,,42.92,,34.45,555.38,,,,,505.5,485.5,,,113.05,26.2,,,55.11,,43.93
10.789,10.052,0.399,1,1,245,+962/-410,5.89,42,35.8,pretender,C,13,,Wx>0.9P,311.01,,,,,279.91,279.91,,,110.23,1.21,,,35.02,,1.93,376.64,,,,,396.98,298.84,,,111.89,0.0,,,35.76,,11.75
3.82,4.844,2.789,1,0,6,+226/-14,9.64,42,63.6,confirmed,C,14,,,608.38,,,,,254.84,444.32,,,115.9,38.15,,,62.51,,30.12,616.76,,,,,243.07,440.77,,,104.68,44.61,,,63.62,,33.71
14.541,9.757,0.868,4,1,208,+848/-283,6.35,42,22.3,pretender,C,15,,Wx>0.9P,313.62,,,,,282.26,282.26,,,182.74,40.66,,,23.92,,48.89,406.41,,,,,394.5,345.5,,,194.79,45.0,,,22.31,,57.93
3.989,7.945,2.011,4,0,129,-14/-127,7.99,42,22.6,confirmed,C,16,,,741.76,,,,,189.88,82.78,,,136.8,39.24,,,66.92,,5.45,511.28,,,,,143.46,82.88,,,156.42,0.01,,,22.6,,0.0
5.702,6.291,3.618,1,1,463,+28/+156,11.19,42,52.3,pretender,C,17,,Wx>0.9P,694.77,,,,,50.27,136.36,,,195.8,7.4,,,23.25,,44.09,715.93,,,,,720.0,543.55,,,144.69,31.01,,,52.28,,23.58
9.78,10.573,2.756,2,1,137,-71/-28,7.51,42,20.0,pretender,C,18,,Wy>0.9P,373.9,,,,,161.12,336.51,,,95.01,5.36,,,72.45,,59.1,480.91,,,,,235.79,458.52,,,83.36,15.88,,,20.0,,60.0
7.915,13.923,2.131,1,0,45,+14/-42,5.33,42,80.0,pretender,C,19,,,331.53,,,,,298.37,148.99,,,99.09,28.75,,,67.24,,0.34,341.38,,,,,298.45,154.06,,,87.4,3.2,,,80.0,,19.11
11.93,6.509,0.435,0,1,403,+1400/+0,7.49,42,52.0,pretender,C,20,,Wx>0.9P,442.32,,,,,398.09,398.09,,,142.09,43.22,,,49.44,,25.25,479.4,,,,,462.72,400.13,,,103.46,25.7,,,52.0,,24.67
9.223,,2.398,1,1,363,-14/-71,6.83,123,57.5,pretender,C,1,,Wy>0.9P,341.83,,,,,252.74,307.65,,,167.98,32.98,,,39.55,,53.72,437.05,,,,,207.9,518.45,,,139.25,44.31,,,57.49,,26.19
3.495,,0.473,0,1,221,-14/+85,5.14,123,37.7,confirmed,C,2,,Wy>0.9P,315.01,,,,,283.51,283.51,,,189.48,43.06,,,38.65,,50.78,329.09,,,,,293.5,297.72,,,177.58,38.87,,,37.67,,38.59
2.358,,1.826,0,1,399,-57/+0,6.88,123,31.6,confirmed,C,3,,Wy>0.9P,429.02,,,,,356.86,386.12,,,197.82,42.66,,,26.23,,58.88,440.19,,,,,307.15,396.3,,,178.49,32.8,,,31.61,,39.28
3.663,,1.704,0,0,382,-14/+57,11.37,123,52.2,confirmed,C,4,,,681.54,,,,,380.24,376.45,,,162.4,17.33,,,45.22,,26.61,727.81,,,,,387.35,367.86,,,161.84,10.96,,,52.24,,25.8
6.057,,1.042,1,1,121,+0/-608,6.83,123,41.2,pretender,C,5,,Wx>0.9P,416.92,,,,,375.23,318.05,,,158.89,19.18,,,35.92,,14.08,437.12,,,,,407.24,324.31,,,161.58,0.0,,,41.22,,25.31
7.564,,1.8,0,0,178,+0/+14,8.47,123,75.9,pretender,C,6,,,529.73,,,,,476.76,285.58,,,163.26,32.35,,,72.64,,6.6,542.26,,,,,474.74,307.61,,,164.4,13.17,,,75.87,,5.83
5.524,,3.918,0,0,203,+382/+0,5.43,123,24.8,pretender,C,7,,,360.95,,,,,220.99,313.88,,,182.24,27.44,,,39.68,,35.12,347.59,,,,,244.44,289.73,,,176.04,20.22,,,24.8,,22.14
6.845,,0.419,0,2,341,-156/-99,6.22,123,24.8,pretender,C,8,,Wx>0.9P;Wy>0.9P,383.36,,,,,345.02,345.02,,,126.12,28.7,,,26.54,,27.43,398.05,,,,,366.75,366.22,,,123.53,20.98,,,24.84,,24.14
2.732,,1.892,1,0,139,+42/+85,7.15,123,72.0,confirmed,C,9,,,391.22,,,,,352.09,267.28,,,186.35,11.78,,,79.43,,20.48,457.57,,,,,411.7,310.61,,,189.26,42.36,,,72.01,,0.0
8.89,,4.055,1,0,244,-834/-170,10.76,123,68.6,pretender,C,10,,,689.26,,,,,499.82,515.65,,,187.86,37.87,,,65.57,,39.9,688.93,,,,,271.23,204.05,,,54.74,30.61,,,68.56,,55.87
8.019,,3.13,1,0,176,+368/-28,9.13,123,24.1,pretender,C,11,,,326.87,,,,,294.18,105.95,,,79.8,14.5,,,59.34,,5.34,584.47,,,,,378.81,203.47,,,70.58,45.0,,,24.13,,42.53
4.542,,0.735,0,1,271,+0/+1259,8.96,123,46.5,confirmed,C,12,,Wy>0.9P,612.15,,,,,550.93,550.33,,,99.82,8.7,,,42.92,,34.45,573.26,,,,,508.16,531.65,,,108.25,35.25,,,46.53,,46.79
5.562,,0.368,0,1,245,+424/-438,7.32,123,26.0,pretender,C,13,,Wx>0.9P,311.01,,,,,279.91,279.91,,,110.23,1.21,,,35.02,,1.93,468.43,,,,,477.37,420.04,,,79.76,39.07,,,25.97,,27.83
3.674,,3.315,1,0,6,+226/-28,9.87,123,59.9,confirmed,C,14,,,608.38,,,,,254.84,444.32,,,115.9,38.15,,,62.51,,30.12,631.89,,,,,241.92,443.53,,,104.24,44.73,,,59.89,,34.47
2.616,,0.431,2,1,208,+42/-113,4.69,123,22.7,confirmed,C,15,,Wx>0.9P,313.62,,,,,282.26,282.26,,,182.74,40.66,,,23.92,,48.89,300.0,,,,,273.92,269.17,,,170.11,28.31,,,22.73,,33.29
7.82,,2.72,3,1,129,-71/+14,12.35,123,37.9,pretender,C,16,,Wy>0.9P,741.76,,,,,189.88,82.78,,,136.8,39.24,,,66.92,,5.45,790.5,,,,,137.72,712.72,,,128.16,10.42,,,37.94,,0.0
14.457,,4.201,3,1,463,-339/+14,4.69,123,52.5,pretender,C,17,,Wy>0.9P,694.77,,,,,50.27,136.36,,,195.8,7.4,,,23.25,,44.09,300.0,,,,,52.47,720.0,,,191.7,15.07,,,72.11,,15.55
6.8,,3.598,2,1,137,-28/-57,7.16,123,23.4,pretender,C,18,,Wy>0.9P,373.9,,,,,161.12,336.51,,,95.01,5.36,,,72.45,,59.1,458.1,,,,,216.84,433.06,,,81.87,1.87,,,23.4,,60.0
11.26,,2.485,2,0,45,+71/-42,5.33,123,80.0,pretender,C,19,,,331.53,,,,,298.37,148.99,,,99.09,28.75,,,67.24,,0.34,341.4,,,,,293.9,155.9,,,88.05,0.0,,,80.0,,17.72
2.377,,0.418,1,0,403,+0/+0,7.05,123,53.5,confirmed,C,20,,,442.32,,,,,398.09,398.09,,,142.09,43.22,,,49.44,,25.25,451.02,,,,,402.69,402.3,,,150.64,45.0,,,53.54,,21.59
7.538,,2.275,0,1,363,-14/+0,6.82,777,53.7,pretender,C,1,,Wy>0.9P,341.83,,,,,252.74,307.65,,,167.98,32.98,,,39.55,,53.72,436.33,,,,,226.71,495.67,,,139.13,25.08,,,53.67,,19.86
7.818,,0.467,1,0,221,+156/+170,5.4,777,39.2,pretender,C,2,,,315.01,,,,,283.51,283.51,,,189.48,43.06,,,38.65,,50.78,345.74,,,,,306.13,306.48,,,160.34,1.63,,,39.15,,16.91
5.933,,2.16,1,1,399,-113/+0,6.96,777,22.7,pretender,C,3,,Wy>0.9P,429.02,,,,,356.86,386.12,,,197.82,42.66,,,26.23,,58.88,445.63,,,,,333.04,438.62,,,169.47,2.39,,,22.69,,23.23
3.455,,1.776,0,0,382,+42/+28,11.09,777,55.2,confirmed,C,4,,,681.54,,,,,380.24,376.45,,,162.4,17.33,,,45.22,,26.61,709.67,,,,,370.05,356.6,,,160.92,19.49,,,55.23,,27.93
4.522,,1.202,1,1,121,+0/-622,6.47,777,38.6,confirmed,C,5,,Wx>0.9P,416.92,,,,,375.23,318.05,,,158.89,19.18,,,35.92,,14.08,414.19,,,,,380.28,315.26,,,163.22,0.0,,,38.61,,24.87
5.199,,2.246,0,1,178,+14/+0,8.55,777,76.4,pretender,C,6,,Wx>0.9P,529.73,,,,,476.76,285.58,,,163.26,32.35,,,72.64,,6.6,547.14,,,,,524.5,285.44,,,166.09,15.03,,,76.41,,11.25
5.503,,4.658,0,0,203,+382/+0,5.63,777,26.2,pretender,C,7,,,360.95,,,,,220.99,313.88,,,182.24,27.44,,,39.68,,35.12,360.47,,,,,251.24,297.31,,,175.2,18.81,,,26.22,,22.51
3.706,,0.249,0,1,341,-156/+14,5.99,777,26.4,confirmed,C,8,,Wy>0.9P,383.36,,,,,345.02,345.02,,,126.12,28.7,,,26.54,,27.43,383.59,,,,,344.91,352.3,,,127.79,29.73,,,26.42,,30.17
5.085,,1.534,1,1,139,+14/+0,6.47,777,76.8,pretender,C,9,,Wx>0.9P,391.22,,,,,352.09,267.28,,,186.35,11.78,,,79.43,,20.48,413.96,,,,,385.0,278.82,,,193.1,38.2,,,76.77,,30.9
5.807,,4.074,0,0,244,-566/+14,11.67,777,40.4,pretender,C,10,,,689.26,,,,,499.82,515.65,,,187.86,37.87,,,65.57,,39.9,746.59,,,,,535.06,611.23,,,107.52,41.84,,,40.44,,44.18
5.116,,2.694,2,0,176,+42/+42,6.09,777,20.0,pretender,C,11,,,326.87,,,,,294.18,105.95,,,79.8,14.5,,,59.34,,5.34,389.94,,,,,287.35,175.83,,,50.0,36.55,,,20.0,,24.13
3.696,,0.836,0,1,271,+1061/+0,8.72,777,51.9,confirmed,C,12,,Wx>0.9P,612.15,,,,,550.93,550.33,,,99.82,8.7,,,42.92,,34.45,558.24,,,,,503.63,493.31,,,126.64,25.37,,,51.9,,40.02
8.848,,0.478,2,1,245,-71/-438,8.49,777,23.8,pretender,C,13,,Wx>0.9P,311.01,,,,,279.91,279.91,,,110.23,1.21,,,35.02,,1.93,543.31,,,,,602.06,433.16,,,77.02,1.28,,,23.79,,2.05
3.843,,2.353,1,0,6,+212/-28,9.79,777,63.1,confirmed,C,14,,,608.38,,,,,254.84,444.32,,,115.9,38.15,,,62.51,,30.12,626.53,,,,,239.12,438.82,,,107.62,43.51,,,63.09,,33.49
5.675,,1.569,0,1,208,+71/-297,11.74,777,27.0,pretender,C,15,,Wx>0.9P,313.62,,,,,282.26,282.26,,,182.74,40.66,,,23.92,,48.89,751.44,,,,,684.57,582.3,,,150.79,16.24,,,26.98,,22.95
,,2.913,3,0,129,/,12.5,777,43.0,degenerate,C,16,,,741.76,,,,,189.88,82.78,,,136.8,39.24,,,66.92,,5.45,800.0,,,,,134.42,694.6,,,128.27,14.08,,,43.04,,0.0
5.08,,3.469,1,1,463,+42/+127,11.35,777,50.7,pretender,C,17,,Wx>0.9P,694.77,,,,,50.27,136.36,,,195.8,7.4,,,23.25,,44.09,726.24,,,,,720.0,559.12,,,136.34,26.72,,,50.65,,30.42
10.875,,3.129,2,1,137,-71/-212,7.18,777,20.0,pretender,C,18,,Wy>0.9P,373.9,,,,,161.12,336.51,,,95.01,5.36,,,72.45,,59.1,459.31,,,,,164.45,666.6,,,83.32,44.8,,,20.0,,49.0
11.367,,1.904,2,0,45,+57/-42,5.3,777,80.0,pretender,C,19,,,331.53,,,,,298.37,148.99,,,99.09,28.75,,,67.24,,0.34,339.05,,,,,291.98,155.09,,,87.0,0.0,,,80.0,,21.42
2.599,,0.434,1,1,403,+0/+0,6.98,777,50.7,confirmed,C,20,,Wy>0.9P,442.32,,,,,398.09,398.09,,,142.09,43.22,,,49.44,,25.25,446.43,,,,,398.97,406.47,,,149.12,43.97,,,50.65,,23.78
