mae_rcwa_o5_pct,mae_rcwa_o7_pct,mae_surr_pct,n_box_edge,n_violations,orig_index,peak_shift_nm,pixel_nm,seed,smallest_feature_nm,status,structure,target_no,twice_R_out_over_P,violated_rules,true_P,true_R_disk,true_R_in,true_R_out,true_W2,true_Wx,true_Wy,true_d1,true_d2,true_d_SiO2,true_phi,true_t1,true_t2,true_t_Cr,true_t_mid,true_theta,committed_P,committed_R_disk,committed_R_in,committed_R_out,committed_W2,committed_Wx,committed_Wy,committed_d1,committed_d2,committed_d_SiO2,committed_phi,committed_t1,committed_t2,committed_t_Cr,committed_t_mid,committed_theta
2.138,,0.04,1,2,190,+0,7.02,123,5.0,confirmed,A,1,,Wx>0.9P;Wy>0.9P,413.39,,,,257.4,372.05,372.05,49.19,195.64,,,48.59,71.12,,14.74,33.09,448.96,,,,367.34,430.44,417.92,76.12,121.6,,,67.81,29.1,,5.0,20.07
4.042,,0.73,3,0,381,+0,8.75,123,13.3,confirmed,A,2,,,482.79,,,,434.51,67.4,434.51,179.73,92.25,,,30.31,25.6,,13.38,40.33,559.99,,,,319.8,497.67,169.03,178.87,171.71,,,13.32,80.0,,16.51,45.0
4.598,,1.043,1,2,451,+12,5.47,123,18.7,confirmed,A,3,,Wy>0.9P;W2>0.9P,399.99,,,,359.99,68.77,359.99,198.25,107.62,,,67.62,40.02,,10.29,37.55,350.09,,,,351.79,90.11,361.11,192.49,113.28,,,28.33,45.49,,18.72,25.96
10.08,,0.064,4,2,456,+77,5.21,123,10.0,pretender,A,4,,Wx>0.9P;W2>0.9P,318.75,,,,163.77,286.88,285.15,126.9,78.13,,,60.17,33.32,,5.59,30.85,333.53,,,,540.0,496.88,249.02,144.94,30.0,,,46.7,10.0,,19.08,0.38
4.37,,0.099,2,3,482,+0,8.36,123,8.6,confirmed,A,5,,Wx>0.9P;Wy>0.9P;W2>0.9P,314.96,,,,283.46,283.46,283.46,46.78,183.89,,,42.55,38.88,,11.91,28.76,535.22,,,,540.0,527.27,509.82,152.75,119.67,,,43.96,52.0,,8.56,7.18
8.763,,0.309,3,1,24,-81,8.47,123,10.0,pretender,A,6,,W2>0.9P,596.46,,,,427.15,458.99,420.56,146.51,196.18,,,32.26,77.03,,24.32,38.28,541.83,,,,534.63,471.49,341.85,152.68,131.83,,,29.4,10.0,,28.91,40.44
7.126,,0.497,2,0,16,-97,5.24,123,23.7,pretender,A,7,,,549.59,,,,180.9,156.1,494.63,144.92,173.68,,,17.95,12.03,,24.3,5.3,335.05,,,,291.89,57.59,220.93,172.43,74.53,,,71.43,32.82,,23.65,45.0
3.966,,0.318,1,1,289,-8,6.95,123,28.8,confirmed,A,8,,Wx>0.9P,399.28,,,,359.35,264.22,239.02,97.24,173.98,,,51.57,39.1,,28.99,1.04,444.58,,,,246.98,407.01,272.44,78.1,41.96,,,29.01,48.6,,28.84,22.91
5.813,,0.524,4,0,327,-28,7.53,123,17.2,pretender,A,9,,,300.36,,,,270.33,270.33,152.98,94.85,138.22,,,55.19,68.87,,20.27,38.84,481.74,,,,50.0,289.61,50.0,162.61,35.51,,,56.84,57.17,,17.22,0.0
3.978,,0.53,2,1,101,+8,6.46,123,8.6,confirmed,A,10,,Wx>0.9P,598.1,,,,538.29,53.47,398.81,52.56,54.12,,,32.65,13.49,,26.53,6.61,413.72,,,,329.83,517.02,193.69,144.07,43.73,,,37.32,10.0,,8.64,23.44
