sample,orig_idx,surr_mae,rcwa_mae,delta,amp,flagged,pretender,t1,t2,t3,t4,restart_loss_std,endpoint_spread_u
1,363,2.40,9.22,6.82,3.85,0,1,1,1,1,0,3.45e-03,1.930
2,221,0.47,3.50,3.02,7.39,0,0,1,0,1,0,1.89e-03,1.589
3,399,1.83,2.36,0.53,1.29,0,0,0,0,1,0,3.20e-03,1.640
4,382,1.70,3.66,1.96,2.15,0,0,0,0,0,0,1.35e-03,1.179
5,121,1.04,6.06,5.01,5.81,0,1,1,1,0,0,4.16e-03,1.707
6,178,1.80,7.56,5.76,4.20,0,1,1,0,0,0,4.30e-03,1.611
7,203,3.92,5.52,1.61,1.41,0,1,0,0,1,0,6.25e-03,1.727
8,341,0.42,6.85,6.43,16.34,0,1,1,0,1,0,3.07e-03,1.627
9,139,1.89,2.73,0.84,1.44,0,0,0,1,0,0,3.31e-03,1.582
10,244,4.06,8.89,4.84,2.19,0,1,0,1,0,0,2.04e-03,1.492
11,176,3.13,8.02,4.89,2.56,0,1,0,1,1,0,2.13e-03,1.549
12,271,0.73,4.54,3.81,6.18,0,0,1,0,0,0,2.49e-03,1.871
13,245,0.37,5.56,5.19,15.10,0,1,1,0,1,0,8.13e-04,1.584
14,6,3.32,3.67,0.36,1.11,0,0,0,1,1,0,5.48e-03,1.240
15,208,0.43,2.62,2.18,6.07,0,0,1,1,1,0,1.29e-03,1.376
16,129,2.72,7.82,5.10,2.88,0,1,0,1,0,0,3.12e-03,1.934
17,463,4.20,14.46,10.26,3.44,1,1,1,1,0,0,2.17e-03,1.748
18,137,3.60,6.80,3.20,1.89,0,1,0,1,0,0,1.88e-02,1.560
19,45,2.49,11.26,8.77,4.53,1,1,1,1,0,0,9.96e-03,1.838
20,403,0.42,2.38,1.96,5.69,0,0,1,1,1,0,3.32e-03,1.705
